,hours_studied,attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,previous_scores,motivation_level,internet_access,tutoring_sessions,family_income,teacher_quality,school_type,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,exam_score_indicator,hours_studied_indicator,tutoring_sessions_indicator,cluster
1985,23,80,Medium,Low,Yes,7,66,High,Yes,1,High,High,Private,Positive,4,No,College,Near,Female,69,C,Medium,Low,8
1986,24,67,High,Medium,No,8,89,Medium,Yes,2,High,Low,Private,Positive,3,No,High School,Near,Female,68,C,Medium,Low,6
1987,23,81,High,Medium,No,8,69,Medium,Yes,5,Medium,Medium,Public,Negative,2,No,High School,Moderate,Male,69,C,Medium,Medium,1
1988,16,93,High,Low,No,6,56,Medium,Yes,2,Low,Medium,Public,Positive,4,No,High School,Near,Male,67,C,Medium,Low,3
1989,23,91,High,Medium,Yes,6,89,Medium,Yes,3,Medium,Medium,Private,Negative,3,No,Postgraduate,Near,Male,73,B,Medium,Medium,7
1990,25,92,Medium,High,Yes,5,85,Low,Yes,1,Low,Medium,Public,Negative,1,No,College,Near,Male,71,B,Medium,Low,5
1991,25,88,High,Medium,Yes,8,63,Medium,Yes,2,High,Medium,Public,Positive,3,No,High School,Moderate,Female,71,B,Medium,Low,6
1992,27,70,Medium,Medium,No,6,99,High,Yes,2,Low,Medium,Private,Neutral,2,No,High School,Near,Female,68,C,Medium,Low,3
1993,24,94,High,Low,No,7,70,Medium,Yes,1,High,Medium,Public,Neutral,1,No,High School,Near,Male,70,B,Medium,Low,6
1994,22,96,Low,High,Yes,10,84,Low,Yes,1,High,High,Public,Negative,3,No,High School,Near,Male,71,B,Medium,Low,6
1995,26,68,Medium,High,No,8,96,High,Yes,1,Medium,High,Public,Neutral,2,No,High School,Near,Male,69,C,Medium,Low,1
1996,20,65,High,Medium,No,7,58,Medium,No,3,Low,Medium,Private,Neutral,4,No,High School,Near,Male,63,C,Medium,Medium,3
1997,15,99,Low,Medium,Yes,8,94,Medium,Yes,2,Medium,Medium,Private,Neutral,3,No,Postgraduate,Near,Male,71,B,Medium,Low,7
1998,19,95,Medium,Medium,Yes,9,85,Medium,No,2,Low,Medium,Public,Negative,3,No,College,Near,Male,69,C,Medium,Low,5
1999,16,96,High,Medium,Yes,5,58,Medium,Yes,2,High,Low,Public,Positive,5,No,Postgraduate,Moderate,Male,71,B,Medium,Low,0
2000,16,95,Medium,Low,No,6,83,Low,Yes,2,Low,High,Private,Neutral,3,No,High School,Near,Female,68,C,Medium,Low,3
2001,19,82,Medium,Medium,No,7,94,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,High School,Near,Female,68,C,Medium,Low,1
2002,15,86,Medium,Low,No,6,90,Medium,Yes,0,Medium,High,Public,Neutral,3,No,Postgraduate,Far,Male,66,C,Medium,Low,7
2003,18,82,Medium,Medium,No,7,88,Medium,Yes,3,Low,Medium,Public,Negative,3,No,College,Moderate,Female,67,C,Medium,Medium,5
2004,9,62,Low,High,Yes,5,58,Low,Yes,0,Medium,High,Private,Positive,5,No,College,Moderate,Female,59,D,Low,Low,4
2005,21,90,Low,Medium,No,8,60,Medium,Yes,1,Low,Medium,Public,Negative,2,No,College,Near,Female,66,C,Medium,Low,5
2006,20,80,Low,Low,No,6,77,Low,Yes,0,Medium,High,Private,Negative,3,No,High School,Near,Male,64,C,Medium,Low,1
2007,15,86,Medium,Medium,No,7,79,Medium,Yes,1,Low,Medium,Public,Neutral,3,Yes,High School,Moderate,Female,64,C,Medium,Low,3
2008,24,80,Medium,High,Yes,7,97,Medium,Yes,0,Low,High,Private,Neutral,4,No,High School,Moderate,Female,69,C,Medium,Low,3
2009,26,80,High,Low,No,8,73,High,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69,C,Medium,Low,1
2010,10,67,Medium,Medium,No,4,65,Medium,No,3,Medium,Medium,Public,Positive,3,No,High School,Near,Male,61,C,Low,Medium,1
2011,15,71,High,High,No,8,60,Medium,Yes,0,Low,High,Private,Negative,3,No,High School,Far,Female,62,C,Medium,Low,3
2012,15,66,Low,Medium,No,7,53,Medium,Yes,2,Medium,High,Public,Negative,3,No,College,Near,Female,61,C,Medium,Low,4
2013,14,68,Medium,Medium,Yes,8,53,High,Yes,1,Medium,High,Private,Positive,2,No,College,Near,Female,63,C,Medium,Low,4
2014,25,99,Medium,Low,No,5,79,Low,Yes,2,Low,Medium,Public,Positive,4,No,College,Near,Female,71,B,Medium,Low,5
2015,19,66,High,High,Yes,8,59,Medium,Yes,1,Medium,Low,Public,Positive,2,No,Postgraduate,Moderate,Female,65,C,Medium,Low,7
2016,18,71,High,High,Yes,9,93,Medium,Yes,1,Low,High,Private,Neutral,4,No,College,Moderate,Male,68,C,Medium,Low,5
2017,8,84,High,High,No,7,80,Medium,Yes,1,High,High,Public,Positive,4,No,High School,Moderate,Male,67,C,Low,Low,6
2018,24,84,Low,High,Yes,6,93,High,Yes,2,Low,Medium,Public,Neutral,1,No,High School,Near,Female,70,B,Medium,Low,3
2019,13,66,High,Medium,Yes,6,71,Medium,Yes,3,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,64,C,Medium,Medium,1
2020,20,92,Medium,High,No,8,80,High,Yes,0,Medium,Medium,Private,Neutral,3,No,College,Near,Male,71,B,Medium,Low,4
2021,22,91,High,Medium,Yes,8,76,Low,Yes,2,Medium,Medium,Public,Neutral,3,No,College,Moderate,Female,71,B,Medium,Low,4
2022,28,69,Medium,High,No,8,99,Low,Yes,0,High,Medium,Private,Negative,3,No,High School,Moderate,Female,67,C,Medium,Low,6
2023,12,72,Medium,Low,Yes,7,90,Medium,Yes,0,High,Medium,Public,Positive,3,No,Postgraduate,Far,Male,63,C,Medium,Low,0
2024,2,98,Low,High,Yes,7,80,High,Yes,2,Low,High,Public,Neutral,1,No,High School,Near,Male,66,C,Low,Low,3
2025,21,93,Medium,Low,Yes,7,80,Medium,Yes,3,High,Medium,Public,Neutral,1,No,High School,Moderate,Male,70,B,Medium,Medium,6
2026,31,88,Medium,Low,No,6,62,Medium,Yes,2,Low,Medium,Private,Positive,4,No,High School,Near,Male,70,B,High,Low,3
2027,27,63,Low,Medium,Yes,8,87,Medium,Yes,3,Low,High,Private,Positive,3,No,High School,Near,Female,67,C,Medium,Medium,3
2028,21,77,Low,Medium,No,7,99,High,Yes,3,Medium,High,Public,Neutral,3,No,Postgraduate,Near,Male,69,C,Medium,Medium,7
2029,17,82,High,Low,No,9,56,Low,Yes,3,High,Medium,Public,Positive,2,No,High School,Near,Female,66,C,Medium,Medium,6
2030,25,67,Medium,High,No,9,82,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,Postgraduate,Far,Female,67,C,Medium,Low,7
2031,14,78,High,Medium,Yes,7,76,Medium,Yes,0,High,Medium,Public,Negative,2,Yes,College,Near,Female,65,C,Medium,Low,8
2032,23,84,High,High,Yes,8,93,Medium,Yes,1,High,Medium,Public,Positive,3,No,Postgraduate,Far,Male,72,B,Medium,Low,0
2033,23,73,High,High,No,6,50,Medium,Yes,1,Medium,Medium,Public,Positive,3,No,College,Near,Male,68,C,Medium,Low,4
2034,26,91,High,Medium,Yes,7,57,Low,Yes,3,Medium,Medium,Public,Negative,3,No,College,Near,Male,72,B,Medium,Medium,4
2035,37,94,High,Medium,Yes,8,52,High,Yes,1,Low,Medium,Private,Positive,3,No,Postgraduate,Near,Male,76,B,High,Low,2
2036,22,73,Medium,Low,Yes,5,58,Medium,Yes,4,Low,Medium,Public,Positive,3,Yes,College,Near,Female,65,C,Medium,Medium,5
2037,17,94,Low,Medium,No,8,85,Medium,Yes,1,Medium,Low,Public,Positive,4,No,High School,Near,Male,68,C,Medium,Low,1
2038,20,64,Medium,Medium,Yes,6,57,Medium,Yes,3,Low,High,Public,Neutral,4,No,College,Near,Female,65,C,Medium,Medium,5
2039,9,94,Medium,Medium,Yes,6,81,Low,Yes,0,Low,High,Public,Positive,3,No,High School,Near,Male,66,C,Low,Low,3
2040,16,66,Low,Medium,No,6,93,Medium,Yes,7,Low,Medium,Public,Negative,2,No,High School,Far,Male,63,C,Medium,High,3
2041,18,63,Medium,Low,No,7,52,Medium,Yes,2,High,High,Public,Positive,3,No,Postgraduate,Moderate,Female,63,C,Medium,Low,0
2042,17,86,Medium,Medium,Yes,5,51,Medium,Yes,2,Low,Medium,Private,Neutral,2,No,Postgraduate,Moderate,Male,66,C,Medium,Low,2
2043,21,79,High,Low,Yes,8,99,Medium,Yes,2,Low,High,Public,Positive,4,No,High School,Near,Male,69,C,Medium,Low,3
2044,15,96,Medium,High,Yes,7,84,High,Yes,3,Medium,Low,Public,Positive,1,No,Postgraduate,Near,Male,72,B,Medium,Medium,7
2045,27,75,Medium,Low,Yes,10,57,Medium,Yes,3,High,Low,Public,Negative,3,No,High School,Near,Male,66,C,Medium,Medium,6
2046,20,71,Medium,Medium,Yes,7,65,Medium,No,2,Medium,Medium,Public,Negative,4,No,High School,Moderate,Female,64,C,Medium,Low,1
2048,18,78,High,High,Yes,6,61,Low,Yes,1,Low,Medium,Private,Positive,5,No,High School,Near,Male,67,C,Medium,Low,3
2049,21,74,Low,Medium,Yes,5,88,Medium,Yes,1,Medium,High,Public,Neutral,1,No,College,Near,Male,66,C,Medium,Low,4
2050,25,88,Medium,Low,Yes,8,62,Low,Yes,2,Low,Medium,Public,Neutral,2,No,High School,Near,Female,68,C,Medium,Low,3
2051,15,90,Medium,Medium,No,5,70,Medium,Yes,0,Medium,Medium,Private,Neutral,2,No,High School,Moderate,Male,65,C,Medium,Low,1
2052,16,94,Medium,High,Yes,8,94,High,Yes,2,Low,High,Private,Negative,3,No,High School,Near,Male,71,B,Medium,Low,3
2053,18,99,Medium,High,Yes,10,51,Medium,Yes,1,Medium,Low,Public,Neutral,4,No,Postgraduate,Near,Male,71,B,Medium,Low,7
2054,12,71,Medium,Medium,Yes,8,65,Medium,Yes,1,Medium,High,Private,Neutral,2,No,High School,Moderate,Male,62,C,Medium,Low,1
2055,15,89,Medium,High,Yes,8,74,Low,Yes,2,Medium,High,Public,Positive,2,No,College,Near,Male,69,C,Medium,Low,4
2056,17,76,Medium,Low,No,7,81,Low,Yes,4,High,Medium,Private,Neutral,2,No,High School,Near,Male,65,C,Medium,Medium,6
2057,25,87,High,Low,No,6,51,Low,Yes,3,Medium,Medium,Public,Neutral,3,No,Postgraduate,Near,Male,70,B,Medium,Medium,7
2059,21,100,Medium,Medium,No,6,67,Medium,Yes,0,High,Medium,Public,Positive,3,No,High School,Far,Male,70,B,Medium,Low,6
2060,25,89,Medium,High,No,5,51,Low,Yes,2,Medium,High,Private,Negative,2,No,Postgraduate,Moderate,Female,70,B,Medium,Low,7
2061,19,98,Low,High,Yes,7,68,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,High School,Moderate,Female,69,C,Medium,Low,3
2062,22,93,High,Low,Yes,9,97,Medium,Yes,2,Medium,Medium,Public,Neutral,3,Yes,High School,Near,Male,71,B,Medium,Low,1
2063,19,96,Medium,Medium,No,5,64,Medium,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Near,Male,69,C,Medium,Low,1
2064,22,93,High,Medium,No,9,79,Medium,Yes,2,Medium,High,Public,Positive,2,No,Postgraduate,Near,Female,73,B,Medium,Low,7
2065,17,78,Medium,Medium,Yes,9,65,Low,Yes,1,Medium,High,Public,Neutral,4,No,High School,Moderate,Female,65,C,Medium,Low,1
2066,5,70,High,High,Yes,8,55,Medium,Yes,3,Low,Medium,Public,Neutral,3,No,High School,Near,Male,62,C,Low,Medium,3
2067,19,75,Medium,High,No,8,64,Medium,Yes,2,High,Low,Public,Negative,5,No,Postgraduate,Moderate,Female,67,C,Medium,Low,0
2068,29,61,Low,Medium,Yes,7,74,High,Yes,1,Medium,Medium,Public,Neutral,3,No,Postgraduate,Moderate,Male,65,C,Medium,Low,7
2069,26,81,Low,Medium,No,7,65,Low,Yes,1,Medium,Medium,Public,Neutral,3,No,High School,Far,Male,65,C,Medium,Low,1
2070,26,80,Medium,High,Yes,6,81,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Near,Female,70,B,Medium,Low,4
2071,27,81,Medium,Medium,Yes,7,97,Low,Yes,1,Medium,Medium,Public,Neutral,2,No,College,Near,Female,70,B,Medium,Low,4
2072,21,99,Medium,High,Yes,7,53,Medium,Yes,0,Medium,Low,Public,Neutral,4,No,Postgraduate,Near,Female,71,B,Medium,Low,7
2073,21,96,High,Low,No,10,86,Low,Yes,1,Low,High,Public,Neutral,3,No,College,Near,Male,71,B,Medium,Low,5
2074,16,66,Medium,Medium,Yes,8,50,Low,Yes,1,Medium,High,Public,Neutral,4,No,High School,Moderate,Male,62,C,Medium,Low,1
2075,18,75,Medium,Low,No,7,50,Medium,Yes,4,Low,Medium,Public,Positive,2,No,Postgraduate,Near,Female,65,C,Medium,Medium,2
2076,24,77,High,Medium,Yes,7,57,Medium,Yes,3,Medium,High,Public,Positive,2,No,College,Far,Male,84,A,Medium,Medium,4
2077,27,74,Medium,Medium,Yes,6,74,Medium,Yes,2,Medium,High,Public,Neutral,2,No,College,Far,Male,68,C,Medium,Low,4
2078,19,92,High,Medium,Yes,6,52,Medium,Yes,3,High,Medium,Public,Positive,1,No,High School,Near,Male,70,B,Medium,Medium,6
2079,17,81,Medium,High,No,8,86,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,Postgraduate,Near,Male,68,C,Medium,Low,7
2080,20,83,Medium,Medium,No,6,51,Medium,Yes,2,Low,High,Public,Negative,4,No,Postgraduate,Near,Male,67,C,Medium,Low,2
2081,24,94,Low,Medium,Yes,6,75,Low,Yes,1,Low,High,Public,Negative,4,No,High School,Near,Female,69,C,Medium,Low,3
2082,11,92,High,High,Yes,6,84,Medium,Yes,2,Low,Low,Public,Negative,1,No,High School,Near,Female,68,C,Medium,Low,3
2083,6,65,High,High,No,6,62,Medium,No,3,Low,Low,Public,Neutral,1,No,High School,Near,Male,59,D,Low,Medium,3
2084,17,89,High,Low,Yes,9,79,Medium,No,0,Medium,Medium,Public,Positive,2,No,College,Near,Female,67,C,Medium,Low,4
2085,13,77,Medium,High,Yes,7,63,Low,Yes,0,High,Low,Public,Positive,1,No,High School,Moderate,Male,63,C,Medium,Low,6
2086,17,72,High,High,Yes,7,61,Low,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Near,Female,65,C,Medium,Low,1
2087,19,62,Medium,Medium,No,7,91,Low,Yes,1,Low,Medium,Public,Positive,3,No,College,Near,Male,63,C,Medium,Low,5
2088,17,79,Medium,Medium,No,7,67,Low,Yes,1,Low,Medium,Private,Positive,3,No,High School,Near,Female,64,C,Medium,Low,3
2089,29,74,High,Medium,Yes,6,91,High,Yes,3,Low,High,Public,Positive,4,No,College,Far,Female,72,B,Medium,Medium,5
2090,22,70,Low,Medium,Yes,5,61,High,Yes,1,Low,Medium,Public,Negative,3,No,College,Moderate,Male,63,C,Medium,Low,5
2091,22,88,Medium,Medium,No,9,68,Medium,No,2,Medium,Medium,Public,Neutral,2,Yes,High School,Near,Male,66,C,Medium,Low,1
2092,24,91,Medium,Medium,Yes,8,55,Low,Yes,0,Medium,Low,Private,Neutral,2,No,College,Moderate,Female,67,C,Medium,Low,4
2093,13,70,High,High,Yes,8,75,High,Yes,1,High,Medium,Public,Positive,2,Yes,Postgraduate,Moderate,Male,66,C,Medium,Low,0
2094,26,62,Medium,Medium,Yes,8,69,Medium,Yes,2,Medium,High,Public,Positive,3,No,College,Moderate,Female,66,C,Medium,Low,4
2095,20,94,Medium,Medium,Yes,10,50,Low,Yes,1,Low,High,Private,Negative,4,Yes,Postgraduate,Near,Female,68,C,Medium,Low,2
2096,24,60,High,High,No,6,73,Medium,Yes,1,Low,Medium,Private,Positive,5,No,Postgraduate,Moderate,Male,66,C,Medium,Low,2
2097,14,97,Medium,Medium,Yes,5,54,Medium,Yes,3,Medium,Medium,Public,Negative,2,No,College,Near,Female,68,C,Medium,Medium,4
2098,11,85,Medium,Medium,Yes,8,92,Low,Yes,2,Medium,Medium,Public,Negative,4,No,High School,Far,Female,65,C,Medium,Low,1
2099,25,73,Medium,Medium,Yes,5,75,Low,Yes,0,Medium,Medium,Private,Positive,2,No,College,Near,Female,67,C,Medium,Low,4
2100,22,70,High,Low,No,7,85,Medium,Yes,0,High,Medium,Private,Negative,3,No,High School,Far,Male,64,C,Medium,Low,6
2101,15,60,Low,High,No,7,91,Low,Yes,0,Low,Medium,Private,Negative,2,No,College,Far,Male,59,D,Medium,Low,5
2102,15,69,Medium,Medium,Yes,8,53,Low,No,0,High,Medium,Private,Negative,3,No,High School,Near,Male,60,D,Medium,Low,6
2103,27,66,Low,High,No,6,67,Low,Yes,1,High,High,Public,Negative,4,No,College,Far,Female,65,C,Medium,Low,8
2104,13,84,Medium,Medium,Yes,9,51,High,Yes,0,Low,Medium,Public,Negative,4,No,High School,Near,Female,64,C,Medium,Low,3
2105,30,67,Medium,High,No,6,52,Medium,Yes,1,Low,Medium,Public,Neutral,1,No,High School,Near,Female,66,C,Medium,Low,3
2106,15,81,Medium,Medium,Yes,8,52,Medium,Yes,0,Medium,Medium,Public,Neutral,2,No,Postgraduate,Near,Male,65,C,Medium,Low,7
2107,24,84,Medium,Medium,Yes,6,74,Medium,Yes,2,Medium,High,Public,Positive,2,No,High School,Far,Male,69,C,Medium,Low,1
2108,18,72,High,High,Yes,8,73,Medium,Yes,0,Medium,Medium,Private,Positive,4,Yes,High School,Near,Female,66,C,Medium,Low,1
2110,17,61,High,Medium,No,7,63,Low,Yes,1,Medium,Medium,Public,Positive,4,No,College,Moderate,Female,62,C,Medium,Low,4
2111,19,61,Medium,Low,No,9,62,Medium,Yes,2,Medium,Medium,Public,Neutral,2,No,High School,Far,Female,60,D,Medium,Low,1
2112,20,90,Low,Medium,No,7,65,Low,No,4,Low,High,Public,Positive,4,No,College,Moderate,Female,68,C,Medium,Medium,5
2113,14,73,Medium,High,Yes,9,82,Medium,Yes,1,Medium,Medium,Public,Negative,3,No,High School,Near,Female,64,C,Medium,Low,1
2114,24,92,High,High,No,7,85,High,Yes,0,Medium,Medium,Public,Positive,3,No,College,Near,Female,73,B,Medium,Low,4
2115,17,77,Medium,Medium,Yes,6,67,Low,Yes,1,Low,Medium,Public,Positive,1,No,College,Near,Male,64,C,Medium,Low,5
2117,14,81,Low,Medium,No,8,71,Low,Yes,1,Low,High,Public,Neutral,3,Yes,Postgraduate,Near,Female,63,C,Medium,Low,2
2118,5,89,Medium,Medium,Yes,4,76,High,Yes,2,Medium,Medium,Public,Neutral,3,No,College,Near,Male,65,C,Low,Low,4
2119,19,71,Medium,Medium,No,8,57,Medium,Yes,2,Medium,High,Public,Positive,4,No,High School,Moderate,Male,65,C,Medium,Low,1
2120,34,65,Medium,Medium,Yes,6,62,High,Yes,0,Medium,High,Public,Negative,3,No,High School,Near,Male,67,C,High,Low,1
2121,25,82,Medium,Medium,Yes,5,86,Medium,No,0,Low,Low,Public,Positive,4,No,High School,Near,Male,67,C,Medium,Low,3
2122,20,73,Medium,Medium,No,8,99,Low,Yes,1,Medium,Medium,Private,Positive,3,No,High School,Near,Male,66,C,Medium,Low,1
2123,18,78,Medium,High,Yes,9,85,High,Yes,1,Low,High,Private,Negative,2,No,Postgraduate,Near,Male,68,C,Medium,Low,2
2124,20,86,Medium,Low,Yes,7,53,Medium,Yes,1,Low,High,Public,Negative,2,No,High School,Near,Male,65,C,Medium,Low,3
2125,23,80,Low,Low,Yes,5,57,Medium,Yes,1,Low,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,66,C,Medium,Low,2
2126,13,85,High,Low,Yes,6,72,Medium,Yes,2,Low,Medium,Public,Positive,1,No,College,Moderate,Female,66,C,Medium,Low,5
2127,27,82,Medium,Medium,Yes,6,87,Low,No,2,Low,High,Public,Positive,2,No,High School,Near,Male,69,C,Medium,Low,3
2128,24,90,Medium,Medium,No,7,58,Medium,Yes,2,Low,Medium,Private,Neutral,2,No,Postgraduate,Near,Male,70,B,Medium,Low,2
2129,24,88,Medium,Low,Yes,7,88,Medium,Yes,2,Medium,High,Private,Neutral,2,No,Postgraduate,Moderate,Male,71,B,Medium,Low,7
2130,23,81,High,Medium,No,8,78,High,Yes,4,Low,Low,Public,Positive,3,No,High School,Moderate,Male,70,B,Medium,Medium,3
2131,20,87,Medium,Medium,No,8,89,Low,Yes,2,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Male,68,C,Medium,Low,1
2132,24,95,High,High,Yes,8,78,Medium,Yes,2,Low,High,Public,Negative,2,No,Postgraduate,Far,Female,73,B,Medium,Low,2
2133,24,77,Medium,High,No,8,80,High,Yes,1,Low,High,Public,Positive,2,Yes,High School,Moderate,Female,68,C,Medium,Low,3
2134,18,77,Medium,Medium,Yes,7,62,Low,Yes,2,High,Medium,Private,Neutral,4,No,College,Near,Male,66,C,Medium,Low,8
2135,17,91,Medium,Low,Yes,10,86,Low,Yes,1,Medium,Medium,Public,Neutral,3,Yes,Postgraduate,Moderate,Female,67,C,Medium,Low,7
2136,21,83,Medium,Low,Yes,8,92,Low,Yes,2,Medium,Medium,Private,Negative,4,Yes,High School,Near,Male,66,C,Medium,Low,1
2137,29,63,Medium,High,Yes,8,94,Medium,Yes,0,Medium,High,Private,Positive,2,No,Postgraduate,Near,Female,69,C,Medium,Low,7
2138,13,96,Medium,Medium,No,10,51,Medium,Yes,1,Low,Low,Public,Positive,3,No,Postgraduate,Near,Female,67,C,Medium,Low,2
2139,11,61,Medium,Low,Yes,7,81,High,Yes,5,Medium,Low,Public,Positive,4,Yes,High School,Near,Male,61,C,Medium,Medium,1
2140,21,90,Medium,Medium,No,6,99,Medium,Yes,2,Low,Medium,Private,Negative,3,No,College,Near,Female,70,B,Medium,Low,5
2141,20,90,High,High,No,9,79,Medium,Yes,2,Low,Medium,Public,Negative,2,No,High School,Near,Female,70,B,Medium,Low,3
2142,21,98,Medium,Medium,Yes,9,59,High,No,3,Medium,Medium,Public,Neutral,3,Yes,College,Near,Female,70,B,Medium,Medium,4
2143,21,62,Medium,Medium,No,7,94,Low,Yes,1,Low,High,Private,Positive,3,No,College,Moderate,Female,64,C,Medium,Low,5
2144,19,84,High,Medium,No,10,63,Medium,Yes,0,Low,Medium,Public,Negative,3,No,College,Far,Female,65,C,Medium,Low,5
2145,29,77,Medium,Medium,No,7,52,Medium,Yes,5,Low,Medium,Public,Positive,4,No,College,Near,Female,70,B,Medium,Medium,5
2146,10,73,Low,High,Yes,8,72,Low,Yes,1,Low,High,Public,Positive,2,No,College,Moderate,Female,62,C,Low,Low,5
2147,15,64,High,High,Yes,9,55,High,Yes,1,Medium,Low,Public,Neutral,3,No,College,Near,Female,64,C,Medium,Low,4
2148,19,83,Medium,High,Yes,7,56,Medium,Yes,1,Medium,Low,Private,Positive,3,No,College,Far,Female,67,C,Medium,Low,4
2149,10,79,High,Medium,No,8,73,High,No,1,Low,Low,Public,Neutral,4,No,High School,Near,Female,63,C,Low,Low,3
2150,19,64,Low,Medium,Yes,9,81,High,Yes,0,Medium,High,Public,Neutral,3,Yes,High School,Near,Male,62,C,Medium,Low,1
2151,30,84,Low,Medium,No,6,95,Medium,Yes,2,High,High,Public,Negative,2,No,College,Near,Male,72,B,Medium,Low,8
2152,20,90,Low,Medium,No,6,85,High,No,3,Low,High,Private,Neutral,2,No,College,Near,Male,69,C,Medium,Medium,5
2153,21,91,Medium,High,Yes,9,92,Medium,Yes,5,Low,Medium,Private,Negative,2,No,High School,Near,Male,72,B,Medium,Medium,3
2154,12,96,Low,Medium,Yes,7,71,High,Yes,2,Medium,Medium,Private,Positive,2,No,College,Near,Male,68,C,Medium,Low,4
2155,16,76,Low,Medium,No,6,66,Low,Yes,1,Medium,Medium,Private,Neutral,3,No,Postgraduate,Near,Female,64,C,Medium,Low,7
2156,18,98,High,High,Yes,7,80,Low,Yes,3,Low,Medium,Private,Neutral,1,No,College,Near,Female,72,B,Medium,Medium,5
2157,18,95,High,High,Yes,8,85,Low,Yes,2,Low,High,Public,Positive,3,No,College,Near,Female,73,B,Medium,Low,5
2158,28,72,High,Medium,Yes,5,78,Low,No,5,Medium,Low,Private,Negative,2,No,College,Far,Male,67,C,Medium,Medium,4
2159,23,66,High,Low,Yes,8,63,Medium,Yes,0,Low,Medium,Public,Negative,4,No,College,Near,Female,64,C,Medium,Low,5
2160,13,77,Medium,Medium,Yes,8,68,Low,Yes,3,High,Medium,Private,Neutral,3,No,High School,Near,Female,65,C,Medium,Medium,6
2161,21,76,High,High,Yes,9,72,Low,Yes,1,Low,High,Public,Neutral,3,No,High School,Moderate,Female,67,C,Medium,Low,3
2162,23,83,Medium,Medium,Yes,7,51,Low,Yes,3,Medium,High,Public,Neutral,2,No,College,Moderate,Male,68,C,Medium,Medium,4
2164,29,90,High,Low,Yes,7,76,Low,Yes,1,Medium,Low,Public,Positive,3,No,High School,Moderate,Female,71,B,Medium,Low,1
2165,14,80,Medium,Medium,Yes,7,88,Medium,Yes,1,Medium,Medium,Private,Neutral,3,No,High School,Near,Male,66,C,Medium,Low,1
2166,15,64,High,Medium,No,7,59,Low,Yes,0,Low,Medium,Public,Neutral,3,Yes,High School,Near,Female,59,D,Medium,Low,3
2167,12,94,Medium,Medium,Yes,10,78,Medium,Yes,1,Medium,High,Public,Neutral,2,No,High School,Near,Female,68,C,Medium,Low,1
2168,19,72,Low,High,Yes,5,96,Low,No,3,Low,Low,Public,Positive,2,No,High School,Moderate,Female,64,C,Medium,Medium,3
2169,23,99,Low,Medium,No,8,61,Low,Yes,2,High,High,Private,Positive,3,Yes,High School,Near,Female,70,B,Medium,Low,6
2170,26,65,Low,Medium,Yes,7,67,Medium,Yes,4,High,Medium,Private,Negative,3,No,High School,Moderate,Female,65,C,Medium,Medium,6
2171,20,98,High,Medium,Yes,7,69,High,No,2,High,High,Public,Negative,2,No,College,Near,Female,72,B,Medium,Low,8
2172,18,64,High,High,No,8,69,Medium,Yes,3,High,Medium,Public,Positive,3,No,College,Moderate,Male,66,C,Medium,Medium,8
2173,21,69,Medium,Medium,Yes,9,80,High,Yes,2,Medium,High,Public,Positive,5,No,College,Near,Male,68,C,Medium,Low,4
2174,15,62,Medium,High,No,8,70,Medium,Yes,1,Low,Medium,Private,Positive,3,No,College,Near,Male,62,C,Medium,Low,5
2175,33,88,Medium,Low,No,9,84,Medium,Yes,1,Low,Medium,Public,Negative,3,No,High School,Near,Male,70,B,High,Low,3
2176,10,94,High,Medium,Yes,7,74,High,Yes,3,High,Medium,Public,Positive,3,No,College,Moderate,Male,70,B,Low,Medium,8
2177,21,77,Medium,Low,Yes,7,58,Medium,Yes,0,Low,High,Public,Negative,3,No,College,Near,Male,64,C,Medium,Low,5
2178,32,97,High,Low,Yes,5,97,Low,Yes,1,Low,High,Public,Positive,5,No,College,Moderate,Female,76,B,High,Low,5
2179,20,84,Medium,Medium,Yes,10,62,High,Yes,1,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,67,C,Medium,Low,4
2180,19,85,High,High,No,7,78,Low,Yes,2,Low,High,Private,Negative,3,No,College,Near,Male,69,C,Medium,Low,5
2181,18,94,Medium,Low,Yes,7,53,Medium,Yes,4,Medium,High,Public,Positive,3,No,High School,Far,Female,68,C,Medium,Medium,1
2182,19,72,Medium,Medium,Yes,8,96,Low,Yes,1,Medium,High,Public,Positive,2,No,Postgraduate,Moderate,Female,67,C,Medium,Low,7
2183,28,74,Medium,Medium,Yes,9,96,Low,Yes,0,High,High,Private,Neutral,3,No,High School,Near,Female,69,C,Medium,Low,6
2184,7,96,High,Medium,Yes,6,68,Medium,Yes,2,Low,High,Public,Neutral,1,No,High School,Near,Female,67,C,Low,Low,3
